page,line,newcase_mark,text
56,18,,(c)(1)(A)
56,19,,Document:
56,20,,1
56,21,,APPLICATION for Search/Seizure Warrant by USA
56,22,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
56,23,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
56,24,,Search & Seizure Warrant)
56,25,,1:18-sc-01213-BAH *SEALED* Entered: Category: misc Event: Application for
56,26,,INFORMATION ASSOCIATED WITH 04/16/2018 Search/Seizure Warrant- 18
56,27,,"[REDACTED] STORED AT PREMISES 15:14:16 U.S.C. 2703 (a), 2703(b)(1) (A), and"
56,28,,CONTROLLED BY [REDACTED] CASE Filed: 2703 (c)(1)(A) Document:
56,29,,CLOSED on 08/16/2018 04/16/2018 1
56,30,,APPLICATION for Search/Seizure Warrant by USA
56,31,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
56,32,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
56,33,,Search & Seizure Warrant)
56,34,,1:18-sc-01214-BAH *SEALED* Entered: Category: misc Event: Application for
56,35,,INFORMATION ASSOCIATED WITH 04/16/2018 Search/Seizure Warrant- 18
56,36,,"[REDACTED] THAT IS STORED AT 15:09:49 U.S.C. 2703 (a), 2703(b)(1) (A), and"
56,37,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
56,38,,[REDACTED] 04/16/2018 1
56,39,,CASE CLOSED on 08/16/2018
56,40,,APPLICATION for Search/Seizure Warrant by USA
56,41,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
56,42,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
56,43,,Search & Seizure Warrant)
56,44,,56
56,45,,
57,2,,1:18-sc-01227-BAH *SEALED* Entered: Category: misc Event: Application for
57,3,,INFORMATION ASSOCIATED WITH 04/17/2018 Search/Seizure Warrant- 18
57,4,,"[REDACTED], THAT IS STORED AT 13:25:01 U.S.C. 2703 (a), 2703(b)(1) (A), and"
57,5,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
57,6,,[REDACTED] 04/17/2018 1
57,7,,CASE CLOSED on 08/16/2018
57,8,,APPLICATION for Search/Seizure Warrant by USA
57,9,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
57,10,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
57,11,,Search and Seizure Warrant)
57,12,,1:18-sc-01228-BAH *SEALED* Entered: Category: misc Event: Application for
57,13,,INFORMATION WITH [REDACTED] 04/17/2018 Search/Seizure Warrant- 18
57,14,,"AND [REDACTED], THAT IS STORED 13:15:41 U.S.C. 2703 (a), 2703(b)(1) (A), and"
57,15,,AT [REDACTED] Filed: 2703 (c)(1)(A) Document:
57,16,,CASE CLOSED on 11/29/2018 04/17/2018 1
57,17,,APPLICATION for Search/Seizure Warrant by USA
57,18,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
57,19,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
57,20,,Search and Seizure Warrant)
57,21,,1:18-sc-01229-BAH *SEALED* Entered: Category:
57,22,,INFORMATION ASSOCIATED WITH 04/21/2018 misc Event: Application for
57,23,,APPLE ACCOUNTS ASSOCIATED 13:57:32 Search/Seizure Warrant- 18
57,24,,"WITH THE DSIDS [REDACTED]AND Filed: U.S.C. 2703 (a), 2703(b)(1) (A), and"
57,25,,[REDACTED] THAT ARE STORED AT 04/17/2018 2703 (c)(1)(A) Document:
57,26,,PREMISES CONTROLLED BY APPLE 1
57,27,,INC.
57,28,,CASE CLOSED on 08/16/2018
57,29,,APPLICATION for Search/Seizure Warrant by USA
57,30,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
57,31,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
57,32,,Search & Seizure Warrant)
57,33,,1:18-sc-01230-BAH *SEALED* Entered: Category: misc Event: Application for
57,34,,INFORMATION ASSOCIATED WITH 04/21/2018 Search/Seizure Warrant- 18
57,35,,"THE YAHOO ACCOUNT [REDACTED] 13:43:19 U.S.C. 2703 (a), 2703(b)(1) (A), and"
57,36,,THAT IS STORED AT PREMISES Filed: 2703 (c)(1)(A) Document:
57,37,,CONTROLLED BY YAHOO HOLDINGS 04/17/2018 1
57,38,,INC. CASE CLOSED on 07/17/2018
57,39,,57
57,40,,
58,2,,APPLICATION for Search/Seizure Warrant by USA
58,3,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
58,4,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
58,5,,Search & Seizure Warrant)
58,6,,1:18-sc-01231-BAH *SEALED* Entered: Category: misc Event: Application for
58,7,,INFORMATION ASSOCIATED WITH 04/21/2018 Search/Seizure Warrant- 18
58,8,,"[REDACTED] THAT ARE STORED AT 14:58:56 U.S.C. 2703 (a), 2703(b)(1) (A), and"
58,9,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
58,10,,[REDACTED] 04/17/2018 1
58,11,,CASE CLOSED on 08/16/2018
58,12,,APPLICATION for Search/Seizure Warrant by USA
58,13,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
58,14,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
58,15,,Search & Seizure Warrant)
58,16,,1:18-sc-01232-BAH *SEALED* Entered: Category:
58,17,,INFORMATION ASSOCIATED WITH 04/21/2018 misc
58,18,,"[REDACTED],"
58,19,,THAT IS STORED AT Event:
58,20,,PREMISES CONTROLLED BY 14:13:19 Application
58,21,,[REDACTED]
58,22,,CASE CLOSED on 08/16/2018 Filed: for
58,23,,04/17/2018 Search/Seizure
58,24,,Warrant- 18
58,25,,U.S.C. 2703
58,26,,"(a), 2703(b)(1)"
58,27,,"(A), and 2703"
58,28,,(c)(1)(A)
58,29,,Document:
58,30,,1
58,31,,APPLICATION for Search/Seizure Warrant by USA
58,32,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
58,33,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
58,34,,Search & Seizure Warrant)
58,35,,1:18-sc-01233-BAH *SEALED* Entered: Category: misc Event: Application for
58,36,,INFORMATION ASSOCIATED WITH 04/21/2018 Search/Seizure Warrant- 18
58,37,,"[REDACTED] STORED AT PREMISES 14:51:43 U.S.C. 2703 (a), 2703(b)(1) (A), and"
58,38,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
58,39,,CASE CLOSED on 08/16/2018 04/17/2018 1
58,40,,APPLICATION for Search/Seizure Warrant by USA
58,41,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
58,42,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
58,43,,Serach & Seizure Warrant)
58,44,,58
58,45,,
59,2,,1:18-sc-01234-BAH *SEALED* Entered: Category:
59,3,,INFORMATION ASSOCIATED WITH 04/21/2018 misc
59,4,,[REDACTED]
59,5,,STORED AT PREMISES CONTROLLED Event:
59,6,,BY [REDACTED]
59,7,,CASE CLOSED on 08/16/2018 14:42:07 Application
59,8,,Filed: for
59,9,,04/17/2018 Search/Seizure
59,10,,Warrant- 18
59,11,,U.S.C. 2703
59,12,,"(a), 2703(b)(1)"
59,13,,"(A), and 2703"
59,14,,(c)(1)(A)
59,15,,Document:
59,16,,1
59,17,,APPLICATION for Search/Seizure Warrant by USA
59,18,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
59,19,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
59,20,,Search & Seizure Warrant)
59,21,,1:18-sc-01244-BAH *SEALED* Entered: Category: misc Event: Application for
59,22,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
59,23,,"[REDACTED] STORED AT PREMISES 14:42:14 U.S.C. 2703 (a), 2703(b)(1) (A), and"
59,24,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
59,25,,CASE CLOSED on 08/08/2018 04/18/2018 1
59,26,,APPLICATION for Search/Seizure Warrant by USA
59,27,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
59,28,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
59,29,,Search & Seizure Warrant)
59,30,,1:18-sc-01245-BAH *SEALED* Entered: Category: misc Event: Application for
59,31,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
59,32,,"[REDACTED] STORED AT PREMISES 14:55:26 U.S.C. 2703 (a), 2703(b)(1) (A), and"
59,33,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
59,34,,CASE CLOSED on 08/08/2018 04/18/2018 1
59,35,,APPLICATION for Search/Seizure Warrant by USA
59,36,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
59,37,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
59,38,,Search and Seizure Warrant)
59,39,,59
59,40,,
60,2,,1:18-sc-01247-BAH *SEALED* Entered: Category: misc Event: Application for
60,3,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
60,4,,"[REDACTED] STORED AT PREMISES 15:16:02 U.S.C. 2703 (a), 2703(b)(1) (A), and"
60,5,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
60,6,,CASE CLOSED on 08/08/2018 04/18/2018 1
60,7,,APPLICATION for Search/Seizure Warrant by USA
60,8,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
60,9,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
60,10,,Search & Seizure Warrant)
60,11,,1:18-sc-01248-BAH *SEALED* Entered: Category: misc Event: Application for
60,12,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
60,13,,"[REDACTED] STORED AT PREMISES 15:32:17 U.S.C. 2703 (a), 2703(b)(1) (A), and"
60,14,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
60,15,,CASE CLOSED on 08/08/2018 04/18/2018 1
60,16,,APPLICATION for Search/Seizure Warrant by USA
60,17,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
60,18,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
60,19,,Search & Seizure Warrant)
60,20,,1:18-sc-01249-BAH *SEALED* Entered: Category:
60,21,,INFORMATION ASSOCIATED WITH 04/18/2018 misc
60,22,,[REDACTED]
60,23,,STORED AT PREMISES CONTROLLED 15:48:27 Event: Application for Search/Seizure
60,24,,BY [REDACTED] Filed: Warrant- 18
60,25,,"CASE CLOSED on 08/08/2018 04/18/2018 U.S.C. 2703 (a), 2703(b)(1) (A), and"
60,26,,2703 (c)(1)(A) Document:
60,27,,1
60,28,,APPLICATION for Search/Seizure Warrant by USA
60,29,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
60,30,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
60,31,,Search & Seizure Warrant)
60,32,,1:18-sc-01250-BAH *SEALED* Entered: Category: misc Event: Application for
60,33,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
60,34,,"[REDACTED] STORED AT PREMISES 16:14:47 U.S.C. 2703 (a), 2703(b)(1) (A), and"
60,35,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
60,36,,CASE CLOSED on 08/16/2018 04/18/2018 1
60,37,,APPLICATION for Search/Seizure Warrant by USA
60,38,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
60,39,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
60,40,,Search & Seizure Warrant)
60,41,,60
60,42,,
61,2,,1:18-sc-01251-BAH *SEALED* Entered: Category: misc Event: Application for
61,3,,INFORMATION ASSOCIATED WITH 04/18/2018 Search/Seizure Warrant- 18
61,4,,"[REDACTED], THAT IS STORED AT 16:21:49 U.S.C. 2703 (a), 2703(b)(1) (A), and"
61,5,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
61,6,,[REDACTED] 04/18/2018 1
61,7,,CASE CLOSED on 08/16/2018
61,8,,APPLICATION for Search/Seizure Warrant by USA
61,9,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
61,10,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
61,11,,Search & Seizure Warrant)
61,12,,1:18-sc-01256-BAH *SEALED* Entered: Category:
61,13,,INFORMATION ASSOCIATED WITH 04/19/2018 misc
61,14,,[REDACTED]
61,15,,THAT ARE STORED AT PREMISES Event:
61,16,,CONTROLLED BY [REDACTED] 11:47:31 Application
61,17,,CASE CLOSED on 08/16/2018 Filed: for
61,18,,04/19/2018 Search/Seizure
61,19,,Warrant- 18
61,20,,U.S.C. 2703
61,21,,"(a), 2703(b)(1)"
61,22,,"(A), and 2703"
61,23,,(c)(1)(A)
61,24,,Document:
61,25,,1
61,26,,APPLICATION for Search/Seizure Warrant by USA
61,27,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
61,28,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
61,29,,Search & Seizure Warrant)
61,30,,1:18-sc-01257-BAH *SEALED* Entered: Category: misc Event: Application for
61,31,,INFORMATION ASSOCIATED WITH 04/19/2018 Search/Seizure Warrant- 18
61,32,,"[REDACTED] THAT ARE STORED AT 11:53:45 U.S.C. 2703 (a), 2703(b)(1) (A), and"
61,33,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
61,34,,[REDACTED] 04/19/2018 1
61,35,,CASE CLOSED on 08/16/2018
61,36,,APPLICATION for Search/Seizure Warrant by USA
61,37,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
61,38,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
61,39,,Sarch & Seizure Warrant)
61,40,,1:18-sc-01266-BAH *SEALED* Entered: Category:
61,41,,INFORMATION ASSOCIATED WITH 04/19/2018 misc
61,42,,[REDACTED]
61,43,,61
61,44,,
62,2,,THAT ARE STORED AT PREMISES Event:
62,3,,CONTROLLED BY [REDACTED] 14:38:00 Application
62,4,,CASE CLOSED on 08/16/2018 Filed: for
62,5,,04/19/2018 Search/Seizure
62,6,,Warrant- 18
62,7,,U.S.C. 2703
62,8,,"(a), 2703(b)(1)"
62,9,,"(A), and 2703"
62,10,,(c)(1)(A)
62,11,,Document:
62,12,,1
62,13,,APPLICATION for Search/Seizure Warrant by USA
62,14,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
62,15,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
62,16,,Search & Seizure Warrant)
62,17,,1:18-sc-01267-BAH *SEALED* Entered: Category: misc Event: Application for
62,18,,INFORMATION ASSOCIATED WITH 04/19/2018 Search/Seizure Warrant- 18
62,19,,"[REDACTED] THAT IS STORED AT 14:45:55 U.S.C. 2703 (a), 2703(b)(1) (A), and"
62,20,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
62,21,,[REDACTED] 04/19/2018 1
62,22,,CASE CLOSED on 08/16/2018
62,23,,APPLICATION for Search/Seizure Warrant by USA
62,24,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
62,25,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
62,26,,Search & Seizure Warrant)
62,27,,1:18-sc-01268-BAH *SEALED* Entered: Category: misc Event: Application for
62,28,,INFORMATION ASSOCIATED WITH 04/19/2018 Search/Seizure Warrant- 18
62,29,,"[REDACTED], THAT IS STORED AT 14:52:48 U.S.C. 2703 (a), 2703(b)(1) (A), and"
62,30,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
62,31,,[REDACTED] 04/19/2018 1
62,32,,CASE CLOSED on 08/16/2018
62,33,,APPLICATION for Search/Seizure Warrant by USA
62,34,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
62,35,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
62,36,,Search & Seizure Warrant)
62,37,,1:18-sc-01285-BAH *SEALED* Entered: Category: misc Event: Application for
62,38,,INFORMATION ASSOCIATED WITH 04/20/2018 Search/Seizure Warrant- 18
62,39,,"[REDACTED] STORED AT PREMISES 13:52:31 U.S.C. 2703 (a), 2703(b)(1) (A), and"
62,40,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
62,41,,CASE CLOSED on 08/08/2018 04/20/2018 1
62,42,,62
62,43,,
63,2,,APPLICATION for Search/Seizure Warrant by USA
63,3,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
63,4,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
63,5,,Search & Seizure Warrant)
63,6,,1:18-sc-01286-BAH *SEALED* Entered: Category: misc Event: Application for
63,7,,INFORMATION ASSOCIATED WITH 04/20/2018 Search/Seizure Warrant- 18
63,8,,"[REDACTED] STORED AT PREMISES 13:43:02 U.S.C. 2703 (a), 2703(b)(1) (A), and"
63,9,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
63,10,,CASE CLOSED on 08/08/2018 04/20/2018 1
63,11,,APPLICATION for Search/Seizure Warrant by USA
63,12,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
63,13,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
63,14,,Search & Seizure Warrant)
63,15,,1:18-sc-01287-BAH *SEALED* Entered: Category:
63,16,,INFORMATION ASSOCIATED WITH 04/20/2018 misc
63,17,,[REDACTED]
63,18,,STORED AT PREMISES CONTROLLED Event:
63,19,,BY [REDACTED]
63,20,,CASE CLOSED on 08/08/2018 14:02:17 Application
63,21,,Filed: for Search/Seizure Warrant- 18
63,22,,"04/20/2018 U.S.C. 2703 (a), 2703(b)(1) (A), and"
63,23,,2703 (c)(1)(A) Document:
63,24,,1
63,25,,APPLICATION for Search/Seizure Warrant by USA
63,26,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
63,27,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
63,28,,Search & Seizure Warrant)
63,29,,1:18-sc-01288-BAH *SEALED* Entered: Category: misc Event: Application for
63,30,,INFORMATION ASSOCIATED WITH 04/20/2018 Search/Seizure Warrant- 18
63,31,,"[REDACTED], THAT IS STORED AT 13:30:05 U.S.C. 2703 (a), 2703(b)(1) (A), and"
63,32,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
63,33,,[REDACTED] 04/20/2018 1
63,34,,CASE CLOSED on 08/23/2018
63,35,,APPLICATION for Search/Seizure Warrant by USA
63,36,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
63,37,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
63,38,,Search & Seizure Warrant)
63,39,,1:18-sc-01289-BAH *SEALED* Entered: Category:
63,40,,INFORMATION ASSOCIATED WITH 04/20/2018 misc
63,41,,[REDACTED]
63,42,,THAT IS STORED AT Event:
63,43,,63
63,44,,
64,2,,PREMISES CONTROLLED BY 13:36:43 Application
64,3,,[REDACTED]
64,4,,CASE CLOSED on 08/16/2018 Filed: for
64,5,,04/20/2018 Search/Seizure
64,6,,Warrant- 18
64,7,,U.S.C. 2703
64,8,,"(a), 2703(b)(1) (A), and 2703 (c)(1)(A)"
64,9,,Document:
64,10,,1
64,11,,APPLICATION for Search/Seizure Warrant by USA
64,12,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
64,13,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
64,14,,Search & Seizure Warant)
64,15,,1:18-sc-01308-BAH *SEALED* Entered: Category: misc Event: Application for
64,16,,INFORMATION ASSOCIATED WITH 04/23/2018 Search/Seizure Warrant- 18
64,17,,"[REDACTED], THAT IS STORED AT 14:28:18 U.S.C. 2703 (a), 2703(b)(1) (A), and"
64,18,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
64,19,,[REDACTED] 04/23/2018 1
64,20,,CASE CLOSED on 08/16/2018
64,21,,APPLICATION for Search/Seizure Warrant by USA
64,22,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
64,23,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
64,24,,Search & Seizure Warrant)
64,25,,1:18-sc-01309-BAH *SEALED* Entered: Category:
64,26,,INFORMATION ASSOCIATED WITH 04/23/2018 misc
64,27,,"[REDACTED], THAT IS STORED AT Event:"
64,28,,PREMISES
64,29,,CONTROLLED BY [REDACTED] 14:22:50 Application
64,30,,CASE CLOSED on 08/16/2018 Filed: for
64,31,,04/23/2018 Search/Seizure
64,32,,Warrant- 18
64,33,,U.S.C. 2703
64,34,,"(a), 2703(b)(1)"
64,35,,"(A), and 2703"
64,36,,(c)(1)(A)
64,37,,Document:
64,38,,1
64,39,,APPLICATION for Search/Seizure Warrant by USA
64,40,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
64,41,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
64,42,,Search & Seizure Warrant)
64,43,,64
64,44,,
65,2,,1:18-sc-01310-BAH *SEALED* Entered: Category: misc Event: Application for
65,3,,[REDACTED] CONTROLLED AND/OR 04/23/2018 Search/Seizure Warrant- 18
65,4,,"OPERATED BY [REDACTED] 14:16:09 U.S.C. 2703 (a), 2703(b)(1) (A), and"
65,5,,CASE CLOSED on 08/16/2018 Filed: 2703 (c)(1)(A) Document:
65,6,,04/23/2018 1
65,7,,APPLICATION for Search/Seizure Warrant by USA
65,8,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
65,9,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
65,10,,Search & Seizure Warrant)
65,11,,1:18-sc-01311-BAH *SEALED* Entered: Category:
65,12,,INFORMATION ASSOCIATED WITH 04/23/2018 misc
65,13,,[REDACTED]
65,14,,THAT IS STORED AT PREMISES Event:
65,15,,CONTROLLED BY
65,16,,[REDACTED] 14:09:20 Application
65,17,,CASE CLOSED on 08/16/2018 Filed: for
65,18,,04/23/2018 Search/Seizure
65,19,,Warrant- 18
65,20,,U.S.C. 2703
65,21,,"(a), 2703(b)(1)"
65,22,,"(A), and 2703"
65,23,,(c)(1)(A)
65,24,,Document:
65,25,,1
65,26,,APPLICATION for Search/Seizure Warrant by USA
65,27,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
65,28,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
65,29,,Search & Seizure Warrant)
65,30,,1:18-sc-01312-BAH *SEALED* Entered: Category: misc Event: Application for
65,31,,INFORMATION ASSOCIATED WITH 04/23/2018 Search/Seizure Warrant- 18
65,32,,"[REDACTED], THAT IS STORED AT 14:04:26 U.S.C. 2703 (a), 2703(b)(1) (A), and"
65,33,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
65,34,,[REDACTED] 04/23/2018 1
65,35,,CASE CLOSED on 08/16/2018
65,36,,APPLICATION for Search/Seizure Warrant by USA
65,37,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
65,38,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
65,39,,Search & Seizure Warrant)
65,40,,1:18-sc-01313-BAH *SEALED* Entered: Category:
65,41,,INFORMATION ASSOCIATED WITH 04/23/2018 misc
65,42,,[REDACTED]
65,43,,THAT ARE STORED AT PREMISES Event:
65,44,,CONTROLLED BY
65,45,,65
65,46,,
66,2,,[REDACTED] 13:57:55 Application
66,3,,CASE CLOSED on 08/16/2018 Filed: for
66,4,,04/23/2018 Search/Seizure
66,5,,Warrant- 18
66,6,,U.S.C. 2703
66,7,,"(a), 2703(b)(1)"
66,8,,"(A), and 2703"
66,9,,(c)(1)(A)
66,10,,Document:
66,11,,1
66,12,,APPLICATION for Search/Seizure Warrant by USA
66,13,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
66,14,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
66,15,,Search & Seizure Warrant)
66,16,,1:18-sc-01314-BAH *SEALED* Entered: Category: misc Event: Application for
66,17,,INFORMATION ASSOCIATED WITH 04/23/2018 Search/Seizure Warrant- 18
66,18,,"[REDACTED] THAT IS STORED AT 13:48:55 U.S.C. 2703 (a), 2703(b)(1) (A), and"
66,19,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
66,20,,[REDACTED] 04/23/2018 1
66,21,,CASE CLOSED on 08/16/2018
66,22,,APPLICATION for Search/Seizure Warrant by USA
66,23,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
66,24,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
66,25,,Search & Seizure Warrant)
66,26,,1:18-sc-01323-BAH *SEALED* Entered: Category: misc Event: Application for
66,27,,INFORMATION ASSOCIATED WITH 04/24/2018 Search/Seizure Warrant- 18
66,28,,"[REDACTED], THAT IS STORED AT 13:35:24 U.S.C. 2703 (a), 2703(b)(1) (A), and"
66,29,,[REDACTED] Filed: 2703 (c)(1)(A) Document:
66,30,,CASE CLOSED on 08/16/2018 04/24/2018 1
66,31,,APPLICATION for Search/Seizure Warrant by USA
66,32,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
66,33,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
66,34,,Search & Seizure Warrant)
66,35,,1:18-sc-01324-BAH *SEALED* Entered: Category: misc Event: Application for
66,36,,INFORMATION ASSOCIATED WITH 04/24/2018 Search/Seizure Warrant- 18
66,37,,"[REDACTED] STORED AT PREMISES 13:49:11 U.S.C. 2703 (a), 2703(b)(1) (A), and"
66,38,,CONTROLLED BY [REDACTED] Filed: 2703 (c)(1)(A) Document:
66,39,,CASE CLOSED on 08/16/2018 04/24/2018 1
66,40,,APPLICATION for Search/Seizure Warrant by USA
66,41,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
66,42,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
66,43,,Search & Seizure Warrant)
66,44,,66
66,45,,
67,2,,1:18-sc-01325-BAH *SEALED* Entered: Category: misc Event: Application for
67,3,,INFORMATION ASSOCIATED WITH 04/24/2018 Search/Seizure Warrant- 18
67,4,,"[REDACTED], THAT IS STORED AT 13:48:18 U.S.C. 2703 (a), 2703(b)(1) (A), and"
67,5,,PREMISES CONTROLLED BY Filed: 2703 (c)(1)(A) Document:
67,6,,[REDACTED] CASE CLOSED on 04/24/2018 1
67,7,,08/16/2018
67,8,,APPLICATION for Search/Seizure Warrant by USA
67,9,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
67,10,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
67,11,,Search & Seizure Warrant)
67,12,,1:18-sc-01326-BAH *SEALED* Entered: Category:
67,13,,INFORMATION ASSOCIATED WITH 04/24/2018 misc
67,14,,[REDACTED]
67,15,,STORED AT PREMISES CONTROLLED 13:43:19 Event: Application for Search/Seizure
67,16,,BY [REDACTED] Filed: Warrant- 18
67,17,,"CASE CLOSED on 08/08/2018 04/24/2018 U.S.C. 2703 (a), 2703(b)(1) (A), and"
67,18,,2703 (c)(1)(A) Document:
67,19,,1
67,20,,APPLICATION for Search/Seizure Warrant by USA
67,21,,pursuant to 18 U.S.C 2703(a) & (b) filed by UNITED
67,22,,"STATES OF AMERICA. (Attachments: # 1 Affidavit, # 2"
67,23,,Search & Seizure Warrant)
67,24,,1:18-sc-01327-BAH *SEALED* Entered: Category: misc Event: Application for
67,25,,INFORMATION ASSOCIATED WITH 04/24/2018 Search/Seizure Warrant- 18
67,26,,"TWO DROPBOX ACCOUNTS 13:58:40 U.S.C. 2703 (a), 2703(b)(1) (A), and"
67,27,,CASE CLOSED on 05/24/2018 Filed: 2703 (c)(1)(A) Document:
67,28,,04/24/2018 1
